date,deaths,epi,route,time,url
2018-08-12,12,"El gobernador del Guayas y presidente de Barcelona Sporting Club, José Francisco Cevallos, dispuso que las 12 personas fallecidas el domingo 12 de agosto del 2018 en la vía Cuenca-Molleturo sean veladas en el Estadio Monumental. Otras 30 personas resultaron heridas según el último reporte del accidente.",vía Cuenca-Molleturo,,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/fallecidos-accidente-bus-barcelona-estadiomonumental.html"">Las 12 personas fallecidas en accidente de la vía Cuenca-Molleturo serán veladas en el Estadio Monumental</a>"
2018-08-12,12,"José Francisco Cevallos, gobernador del Guayas y presidente del Barcelona SC, confirmó la noche de este 12 de agosto del 2018, en su cuenta de Twitter, que 12 personas fallecieron y 30 resultaron heridas en el accidente de bus en la vía Cuenca- Molleturo. En la unidad se transportaban hinchas del equipo guayaquileño.",vía Cuenca- Molleturo,20:00:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/fallecidos-accidente-bus-hinchas-barcelona.html"">12 fallecidos en accidente de bus en el que viajaban hinchas del Barcelona</a>"
2018-08-14,24,"La gente del barrio El Carmen de la comunidad Cochauco, ubicada en el kilómetro 8 de la vía Pifo-Papallacta, escuchó un fuerte estruendo a las 02:30 de este martes 14 de agosto del 2018. En esos instantes, un bus internacional proveniente de Colombia se accidentó, ocasionando la muerte de 24 personas y dejando 19 heridos.",vía Pifo-Papallacta,02:30:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/fallecidos-accidente-viapifopapallacta-emergencia.html"">24 fallecidos en accidente de bus internacional en la vía Quito - Papallacta</a>"
2018-08-15,13,"Un ambiente de incertidumbre y tristeza se vive la mañana de hoy, miércoles 15 de agosto del 2018, en las instalaciones de Medicina Legal de la Policía, ubicadas en las avenidas Mariana de Jesús y Mariscal Sucre. Los allegados de las víctimas del accidente en la vía Pifo-Papallacta se encuentran allí para reconocer los cadáveres y retirarlos.",vía Pifo - Papallacta.,08:00:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/fallecidos-accidentebus-viapifopapallacta-medicinalegal-ecuador.html"">13 fallecidos del accidente en la vía Pifo -Papallacta fueron identificados en Medicina Legal de Pichincha</a>"
2018-08-17,3,"El sistema integrado ECU 911 confirmó que tres personas fallecieron y 18 quedaron heridas en un accidente de tránsito entre un bus y un tráiler en el kilómetro 56 de la vía Alóag-Santo Domingo, este 17 de agosto del 2018.","vía Alóag-Santo Domingo,",19:00:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/heridos-accidente-viaaloag-santodomingo-tandapi.html"">Tres fallecidos en accidente de tránsito en la vía Alóag-Santo Domingo</a>"
2018-09-01,10,"Un accidente de tránsito registrado a eso de las 04:30 de este sábado 1 de septiembre del 2018 dejó como resultado 10 personas fallecidas y varios heridos. Según los Bomberos de Cuenca, siete adultos y tres menores de edad perdieron la vida.",Cuenca-Loja,04:30:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/fallecidos-heridos-accidente-cuenca-loja.html"">Diez fallecidos y varios heridos en nuevo accidente de tránsito de un bus en Azuay</a>"
2018-09-01,11,"Tres menores de edad están entre las 11 personas fallecidas en el accidente de tránsito ocurrido la madrugada de este sábado 1 de septiembre en el kilómetro 21 de la vía Cuenca-Loja, sector de Gañadel, en el sur del país.",vía Cuenca-Loja,02:00:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/numero-muertos-accidente-via-cuenca.html"">El número de muertos por accidente en la vía Cuenca-Loja subió a 11</a>"
2018-09-16,5,"Cinco muertos y 27 heridos es el saldo del volcamiento de un bus de la Cooperativa Turismo Oriental en la vía Cuenca-Riobamba. El hecho ocurrió a las 03:30 de hoy, domingo 16 de septiembre del 2018.",Cuenca-Riobamba Cinco,03:30:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/cinco-fallecidos-heridos-volcamiento-bus.html"">Accidente de tránsito dejó 5 personas fallecidas y 27 heridas en la vía Cuenca-Riobamba</a>"
2018-09-18,12,"La Gobernación de El Oro emitió un informe a las 16:59 de este martes 18 de septiembre del 2018 sobre el último reporte de las víctimas que dejó un accidente del bus de Nambija. Según el comunicado, 12 personas murieron (9 hombres y tres mujeres) y 27 resultaron heridas tras el volcamiento de la unidad en la vía Balsas-Machala.",vía Balsas-Machala.,16:59:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/bus-cooperativanambija-abismo-accidentedetransito-businterprovicial.html"">Accidente de bus de la Cooperativa Nambija dejó 12 personas fallecidas y 27 heridos</a>"
2018-09-06,12,"El bus con 40 pasajeros se volcó y rodó 400 metros en un abismo en la vía Pindo-Balsas, en la provincia de El Oro.",Pindo-Balsas,20:00:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/pasajeros-bus-siniestrado-mineros-muerte.html"">Nueve accidentes de tránsito dejan 103 fallecidos en lo que va del 2018</a>"
2018-09-22,3,"Un accidente de tránsito registrado la madrugada de este sábado 22 de septiembre de 2018 dejó tres personas fallecidas luego de un choque entre un bus interprovincial de la Cooperativa Rutas Orenses y una camioneta color vino. El accidente se produjo sobre las 4:00 en la vía Panamericana (vía Machala-Guayaquil), a la altura de la hacienda Pensilvanida, del cantón El Guabo, en la provincia de El Oro.",vía Machala-Guayaquil,02:00:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/choque-bus-camioneta-fallecidos-eloro.html"">Choque entre un bus y una camioneta deja tres personas fallecidas en El Oro</a>"
2018-11-22,7,La identificación de las víctimas fue difícil. Las siete personas que fallecieron quedaron totalmente calcinadas.,"Buena Fe-Patricia Pilar,",02:00:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/accidente-transito-fallecidos-calcinadas-aerotaxi.html"">Siete personas murieron calcinadas en una vía en Los Ríos</a>"
2018-12-17,1,"Un triple choque entre un bus, un camión y una tricimoto dejó un muerto y tres heridos. El siniestro ocurrió en la parroquia Petrillo, provincia del Guayas, este lunes 17 de diciembre del 2018.",Guayaquil- Daule.,06:30:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/guayas-choque-muerte-heridos-accidentes.html"">Triple choque deja un muerto y dos heridos en Guayas</a>"
2018-12-20,1,"Un bus internacional que viajaba desde Bogotá (Colombia) hacia Lima (Perú) se accidentó la noche del jueves, 20 de diciembre del 2018, cuando circulaba por la vía Panamericana, en el sector de Los Cañaverales, en el norte de Ibarra, Ecuador. Una persona falleció y otras 20 resultaron heridas, informó el servicio de emergencia ECU 911 a las 07:22 de este viernes 21 de diciembre.",Bogotá a Lima,20:00:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/victimas-volcamiento-bus-colombia-ibarra.html"">Un fallecido y 20 heridos en accidente de bus internacional que viajaba de Bogotá a Lima y se volcó en Ibarra</a>"
2018-12-22,6,"Un accidente de tránsito se registró la tarde de este sábado 22 de diciembre del 2018 entre un bus de la cooperativa Semería y una volqueta, en el Austro. Hasta las 15:00 se confirmó que producto de este siniestro fallecieron seis personas y otras 12 quedaron heridas.",Cuenca hacia Guayaquil.,15:00:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/accidente-transito-fallecidos-canar-suscal.html"">Seis fallecidos y 12 heridos por choque de bus y volqueta en Cañar</a>"
2019-01-02,1,"El Servicio Integrado de Seguridad ECU 911 informó hoy, miércoles 2 de enero del 2019, que accidente de tránsito entre un bus y una camioneta en la provincia de Manabí, en Ecuador, dejó al menos una persona fallecida y tres heridas.",,02:00:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/accidente-transito-muerto-tres-bus.html"">Al menos un muerto y tres heridos en un accidente de bus en Manabí</a>"
2019-01-16,1,"La tarde de este miércoles 16 de enero del 2019 un bus de la cooperativa interprovincial Sucúa se volcó y rodó unos 200 metros por un barranco, en la vía Patuca-San José de Morona. Este accidente dejó una persona fallecida y 17 heridos que fueron trasladados a diferentes casas de salud.",vía Patuca-San José de Morona,15:00:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/muerto-heridos-accidente-bus-morona.html"">Un muerto y 17 heridos en un accidente de un bus en Morona Santiago</a>"
2019-02-04,5,"Cinco personas fallecieron y 29 resultaron heridas la madrugada del lunes 4 de febrero del 2019 en un accidente de tránsito que involucró a un bus de pasajeros que circulaba por el sector la Moya, en el cantón Alausí, provincia de Chimborazo.",ruta Cuenca – Quito,02:00:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/accidente-bus-alausi-muerte-chimborazo.html"">Accidente de bus deja cinco fallecidos y 29 heridos en Alausí, Chimborazo</a>"
2019-02-14,1,"Un bus de transporte público que circulaba en la vía Rocafuerte- Tosagua, en la provincia de Manabí, sufrió un accidente de tránsito a las 07:30 de este jueves, 14 de febrero del 2019. La tragedia vial dejó un muerto y 14 heridos, informó el servicio de emergencia ECU 911 en un comunicado.",vía Rocafuerte- Tosagua,07:30:00,"<a target=""_blank"" href=""https://www.elcomercio.com/actualidad/muerto-heridos-volcamiento-bus-manabi.html"">Un muerto y 14 heridos por volcamiento de bus en vía a Tosagua, en Manabí</a>"
